nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;635498.67983;"KALIMANTAN TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;85548.94268;"KALIMANTAN UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;119512.68397;"SULAWESI UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;167135.76881;"SULAWESI TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;461774.73578;"SULAWESI SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;118066.60672;"SULAWESI TENGGARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;37731.38637;GORONTALO
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;43457.83166;"SULAWESI BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;43047.09066;MALUKU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;36468.7947;"MALUKU UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;79644.58497;"PAPUA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;210600.57321;PAPUA
